pdb,description,method,datapath,github,protein,virus,hasRerefinement,Molprobity_score
7kj3,"EM structure of a SARS-CoV-2 spike glycoprotein bound to two cell-surface receptors ACE2. Non polymer only pentamer, spike protein with three chains ACE2 with two chains. Paper suggest that engineered trimeric ACE2 may be a anti SARS-CoV-2 agent. ",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kj3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kj3,surface_glycoprotein,SARS-CoV-2,0,11.0
7kj4,"EM structure of a SARS-CoV-2 spike glycoprotein bound to three cell-surface receptors ACE2. Non polymer only pentamer, spike protein with three chains ACE2 with two chains. Paper suggest that engineered trimeric ACE2 may be a anti SARS-CoV-2 agent. ",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kj4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kj4,surface_glycoprotein,SARS-CoV-2,0,14.0
7kj5,EM structure of the SARS-CoV-2 spike glycoprotein prefusion with one RBD in up conformation. Homo trimer with three chains. ,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kj5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kj5,surface_glycoprotein,SARS-CoV-2,0,10.0
7kkk,"EM structure of SARS-CoV-2 spike protein in complex with the neutralizing synthetic nanobody Nb6. Non polymer only hexamer, spike with three chains and nanobody with three chains. Nb6 binds spikes in a fully inactive conformation so they are incapable of binding ACE2. ",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kkk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kkk,surface_glycoprotein,SARS-CoV-2,0,3.0
7kkl,"EM structure of SARS-CoV-2 spike protein in complex with the neutralizing nanobody mNb6. Non polymer only hexamer, spike with three chains and nanobody with three chains. mNb6 is a mutated form of Nb6 (7kkk) which binds with an increased affinity.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kkl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kkl,surface_glycoprotein,SARS-CoV-2,0,0.0
7kl9,"EM structure of SARS-CoV-2 spike 6P trimer in complex with an ACE2 decoy protein CTC-445.2 in state 4. A non-polymer only hexamer, spike protein with three chains and the CTC-445.2 inhibitor protein with three chains. CTC-445.2 is a promising decoy for neutralizing pathogens like SARS-CoV-2. ",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kl9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kl9,surface_glycoprotein,SARS-CoV-2,0,2.0
7k0r,Nsp15 bound to uridine-5'-monophosphate and phosphate ions.,ELECTRON MICROSCOPY,pdb/endornase/SARS-CoV-2/7k0r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/7k0r,endornase,SARS-CoV-2,0,0.0
7cyq,"Cryo-EM structure of an extended SARS-CoV-2 replication and transcription complex (RTC) reveals an intermediate state in cap structure synthesis. Cryo-EM structure of an extended RTC assembled by nsp7-nsp8 2 -nsp12-nsp13 2 -RNA and a single RNA-binding protein, nsp9. Nsp9 binds tightly to nsp12 (RdRp) NiRAN, allowing nsp9 N terminus inserting into the catalytic center of nsp12 NiRAN, which then inhibits activity. EM structure of SARS-CoV-2 extended RTC assembled by nsp7-nsp8­-nsp12-nsp13-RNA and a single RNA-binding protein, nsp9. Hetero nonamer, Helicase and NSP8 with two chains each and RNA polymerase, NSP7, NSP9 and both RNAs with one chain each. NSP9 binds tightly to NSP12 NiRAN, allowing NSP9 N-terminus to insert into the catalytic center of NSP12 which inhibits activity.",ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7cyq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7cyq,nsp8,SARS-CoV-2,0,61.0
6zol,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with the human ribosomal 40S subunit and 18s rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits cellular (not viral) translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/6zol,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/6zol,leader_protein,SARS-CoV-2,0,0.0
7jqb,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with the 40S subunit of rabbit ribosome and rRNA. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits cellular (not viral) translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/7jqb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7jqb,leader_protein,SARS-CoV-2,0,0.0
7jqc,"This electron microscopy structure shows the SARS-CoV-2 leader protein (Nsp1) in a complex with CrPV IRES and rabbit 40S ribosome. The protein inserts its C-terminal domain into the mRNA channel of the ribosome, where it interferes with mRNA binding and inhibits cellular (not viral) translation. Nsp1 effectively blocks retinoic acid-inducible gene I-dependent innate immune responses that would otherwise facilitate clearance of the infection.",ELECTRON MICROSCOPY,pdb/leader_protein/SARS-CoV-2/7jqc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV-2/7jqc,leader_protein,SARS-CoV-2,0,0.0
7b3b,Electron microscopy structure of elongating SARS-CoV-2 RNA-dependent RNA polymerase (Rdrp) with Remdesivir at position -3 (structure 1). Structure of elongating SARS-CoV-2 RNA-dependent RNA polymerase with Remdesivir at position -3 (structure 1). Cryo-electron microscopy is used to establish the molecular mechanism of remdesivir-induced RdRp stalling.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7b3b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7b3b,nsp8,SARS-CoV-2,0,0.0
7b3c,Electron microscopy structure of elongating SARS-CoV-2 RNA-dependent RNA polymerase (Rdrp) with Remdesivir at position -4 (structure 2). Structure of elongating SARS-CoV-2 RNA-dependent RNA polymerase with Remdesivir at position -4 (structure 2). Cryo-electron microscopy is used to establish the molecular mechanism of remdesivir-induced RdRp stalling.,ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7b3c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7b3c,nsp8,SARS-CoV-2,0,0.0
7b3d,"Electron microscopy structure of elongating SARS-CoV-2 RNA-dependent RNA polymerase (Rdrp) with AMP at position -4 (structure 3). Structure of elongating SARS-CoV-2 RNA-dependent RNA polymerase with AMP at position -4 (structure 3). Cryo-electron microscopy is used to establish the molecular mechanism of remdesivir-induced RdRp stalling. EM structure of SARS-CoV-2 RNA dependent RNA polymerase with AMP at position -4. Hetero pentamer, five macromolecules with one chain each. This structure together with 7b3c and 7b3b is part of a study to analyse the mechanism of the drug Remdesivir.",ELECTRON MICROSCOPY,pdb/nsp8/SARS-CoV-2/7b3d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8/SARS-CoV-2/7b3d,nsp8,SARS-CoV-2,0,0.0
7l1f,The SARS-CoV-2 RNA-dependent RNA polymerase with nsp7 and nsp8 in complex with 4 Remdesivir monophosphate.,ELECTRON MICROSCOPY,pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7l1f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7l1f,nsp7-nsp8-rna_polymerase,SARS-CoV-2,0,3.0
6m3w,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/6m3w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6m3w,surface_glycoprotein,SARS-CoV,0,0.0
7a25,"EM structure of a SARS-CoV-2 spike protein bound to the neutralizing sybodies Sb23. Hetero hexamer, spike protein with three chains and Sybody with three chains. Sb23 competes with ACE2 for RBD binding of the spike protein.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7a25,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7a25,surface_glycoprotein,SARS-CoV-2,0,0.0
7b17,This electron microscopy structure shows the SARS-CoV spike RBD bound to two neutralizing nanobodies. Nanobodies have size and cost advantages over conventional antibodies. This structure shows an in vitro generated multivalent neutralizing nanobody that targets the receptor-binding domain of the SARS-CoV-2 spike protein.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7b17,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7b17,surface_glycoprotein,SARS-CoV-2,0,0.0
7bh9,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7bh9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7bh9,surface_glycoprotein,SARS-CoV-2,0,0.0
7bnm,"Closed conformation of D614G SARS-CoV-2 spike protein. In the D614 spike""closed"",  conformation, RBD is partly buried and cannot bind to the human ACE2 receptor. The D614G substitution promotes""opening"",  of the spike, priming it for binding to the receptor ACE2",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7bnm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7bnm,surface_glycoprotein,SARS-CoV-2,0,9.08
7bnn,"EM structure of SARS-CoV-2 spike with 1 erect RBD and the D614G substitution. Homo trimer, spike protein with three chains. The substitution has a greater conformational flexibility and a more open conformation wich may results in the exposure of epitopes for additional neutralizing antibodies. ",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7bnn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7bnn,surface_glycoprotein,SARS-CoV-2,0,0.0
7bno,"EM structure of SARS-CoV-2 spike protein with the D614G substitution with 2 erect RBDs. Homo trimer, spike with three chains. The substitution has a greater conformational flexibility and a more open conformation wich may results in the exposure of epitopes for additional neutralizing antibodies.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7bno,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7bno,surface_glycoprotein,SARS-CoV-2,0,0.0
7cab,"This electron microscopy structure shows the SARS-CoV-2 spike protein bound to the potent therapeutic antibody 2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose. Cryo-electron microscopy characterization of the SARS-CoV-2 S trimer in complex with the H014 Fab fragment unveiled a previously uncharacterized conformational epitope, which was only accessible when the RBD was in an open conformation.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cab,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cab,surface_glycoprotein,SARS-CoV-2,0,0.0
7cac,"EM structure of SARS-CoV-2 S trimer with one RBD open state in complex with one H014 Fab. Hetero pentamer, spike protein with three chains and Fab with one heavy and one light chain. H014 reduces SARS-CoV-2 titers in infected lungs and prevent pulmonary pathology in a human ACE2 mouse model.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cac,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cac,surface_glycoprotein,SARS-CoV-2,0,0.0
7cwl,"EM structure of SARS-CoV-2 spike protein RBD in close state in complex with the P17 fab. Hetero nonamer, fab P17 with a heavy and a light chain with three chains each, spike with three chains. The fab can together with S309 and H014 form a neutralization cluster on the RBD of trimeric S.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cwl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cwl,surface_glycoprotein,SARS-CoV-2,0,4.0
7cwm,"EM structure of SARS-CoV-2 spike protein one RBD in open state and two RBDs in closed state in complex with Fab P17. Hetero nonamer, spike with three chains and Fab with a heavy and a light chain with three chains each. P17 together with H014 revealed that neutralization was achieved by S1 shielding and conformational locking.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cwm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cwm,surface_glycoprotein,SARS-CoV-2,0,2.0
7cwn,"EM structure of SARS-CoV-2 spike protein in complex with the antibodiy coctail P17-H014 Fab. Hetero pentadecamer, spike with three chains, P17 and H014 antibody with a heavy and a light chain with three chains each. P17 together with H014 revealed that neutralization was achieved by S1 shielding and conformational locking.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cwn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cwn,surface_glycoprotein,SARS-CoV-2,0,8.0
7cwo,"Structure of SC2 spike protein receptor binding domain (RBD) and P17 fab complex. The study exploited antibody cooperativity to develop a therapeutic antibody cocktail against SC2.  SC2 spike in complex with H014 and P17 antibodies achieved synergistic neutralization by S1 shielding and conformational locking, blocking receptor attachment and viral membrane fusion, conferring high potency as well as robustness against viral mutation escape.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cwo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cwo,surface_glycoprotein,SARS-CoV-2,0,0.0
7cws,SARS-CoV-2 Spike Proteins Trimer in Complex with FC05 and H014 Fabs Cocktail. Structure with 3.40 Å resolution from electron microscopy (Reconstruction Method: single particle).,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cws,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cws,surface_glycoprotein,SARS-CoV-2,0,10.0
7cwu,SARS-CoV-2 spike proteins trimer in complex with P17 and FC05 Fabs cocktail. Structure with 3.50 Å resolution from electron microscopy (Reconstruction Method: single particle).,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7cwu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7cwu,surface_glycoprotein,SARS-CoV-2,0,4.0
7czp,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czp,surface_glycoprotein,SARS-CoV-2,0,0.0
7czq,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czq,surface_glycoprotein,SARS-CoV-2,0,0.0
7czr,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czr,surface_glycoprotein,SARS-CoV-2,0,0.0
7czs,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czs,surface_glycoprotein,SARS-CoV-2,0,8.0
7czt,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czt,surface_glycoprotein,SARS-CoV-2,0,0.0
7czu,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czu,surface_glycoprotein,SARS-CoV-2,0,0.0
7czv,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czv,surface_glycoprotein,SARS-CoV-2,0,8.0
7czw,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czw,surface_glycoprotein,SARS-CoV-2,0,0.0
7czx,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czx,surface_glycoprotein,SARS-CoV-2,0,1.0
7czy,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czy,surface_glycoprotein,SARS-CoV-2,0,0.0
7czz,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7czz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7czz,surface_glycoprotein,SARS-CoV-2,0,8.0
7d00,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7d00,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7d00,surface_glycoprotein,SARS-CoV-2,0,0.0
7d03,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7d03,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7d03,surface_glycoprotein,SARS-CoV-2,0,1.0
7d0b,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7d0b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7d0b,surface_glycoprotein,SARS-CoV-2,0,1.0
7d0c,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7d0c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7d0c,surface_glycoprotein,SARS-CoV-2,0,0.0
7d0d,,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7d0d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7d0d,surface_glycoprotein,SARS-CoV-2,0,0.0
7dcc,"EM structure of SARS-CoV-2 spike protein with three RBDs up each bound to a 3C1 Fab. Hetero nonamer, spike with three chains, Fab with three heavy and three light chains. 3C1 bind to RBD through adapting feasible orientation of 3C1 or coordinated conformational changes.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dcc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dcc,surface_glycoprotein,SARS-CoV-2,0,0.0
7dcx,"EM structure of SARS-CoV-2 spike protein with two RBDs up and one RBD down, each RBD is bound to a 3C1 fab. Hetero nonamer, spike with three chains, fab with three heavy and three light chains. 3C1 bind to RBD through adapting feasible orientation of 3C1 or coordinated conformational changes.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dcx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dcx,surface_glycoprotein,SARS-CoV-2,0,0.0
7dd2,"S-3C1-F2 structure, two RBDs are up and one RBD is down, the two up RBD bind with a 3C1 fab. The study identifies and characterizes two groups of MAbs, 2H2 and 3C1 targeting RBD on the SC2 spike (S) protein. It reveals MAb-triggered stepwise allosteric rearrangements of the S trimer",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dd2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dd2,surface_glycoprotein,SARS-CoV-2,0,0.0
7dd8,"EM structure of SARS-CoV-2 spike protein with one RBD up and two RBDs down, the up RBD is bound with a 3c1 fab. Hetero pentamer, 3C1 with one heavy and one light chain, spike with three chains. The structure shows that the binding of the 3C1 fab could induce a further 32.3° outward tilt of the up RBD.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dd8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dd8,surface_glycoprotein,SARS-CoV-2,0,0.0
7ddd,SARS-CoV-2 Spike protein at close state. Identification and characterization of two groups of mouse neutralizing monoclonal antibodies (MAbs) targeting the receptor-binding domain (RBD) on the SARS-CoV-2 spike (S) protein. MAbs 2H2 and 3C1 bind distinct epitopes and are compatible in formulating a noncompeting antibody cocktail.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7ddd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ddd,surface_glycoprotein,SARS-CoV-2,0,0.0
7ddn,This electron microscopy structure shows the SARS-CoV-2 spike protein at open state.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7ddn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7ddn,surface_glycoprotein,SARS-CoV-2,0,0.0
7df3,EM structure of the spike gycloprotein S trimer in closed prefusion state. Homo trimer with three chains. The structure shows counterclockwise rotation with an RBD inward shift toward the central axis.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7df3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7df3,surface_glycoprotein,SARS-CoV-2,0,0.0
7df4,Structure of SC2 S-ACE2 complex. The SC2 trimeric spike (S) glycoprotein interacts with the human ACE2 receptor to mediate viral entry into host cells. The RBD T470-T478 loop and Y505 act as viral determinants for specific recognition of SC2 RBD by ACE2.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7df4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7df4,surface_glycoprotein,SARS-CoV-2,0,0.0
7dk3,"SARS-CoV-2 S trimer in S-open state. Cryo-EM structures of a tightly closed SARS-CoV-2 S-trimer with packed fusion peptide, and an ACE2-bound S-trimer at 2.7 Å and 3.8 Å resolution.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dk3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dk3,surface_glycoprotein,SARS-CoV-2,0,0.0
7dk4,"This electron microscopy structure shows the SARS-CoV-2 spike protein in complex with 2H2-F3a fragments. Two RBDs are up and one RBD is down, each up RBD binds with a 2H2 Fab.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dk4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dk4,surface_glycoprotein,SARS-CoV-2,0,0.0
7dk5,"Identification and characterization of two groups of mouse neutralizing monoclonal antibodies (MAbs) targeting the receptor-binding domain (RBD) on the SARS-CoV-2 spike (S) protein. S-2H2-F1 structure, one RBD is up and two RBDs are down, only up RBD binds with a 2H2 Fab.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dk5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dk5,surface_glycoprotein,SARS-CoV-2,0,0.0
7dk6,"This electron microscopy structure shows the SARS-CoV-2 spike protein in complex with 2H2-Fab fragments. Two RBDs are up and one RBD is down, each up RBD binds with a 2H2 Fab.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dk6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dk6,surface_glycoprotein,SARS-CoV-2,0,0.0
7dk7,"EM structure of SARS-CoV-2 spike with three RBDs up and each RBD binds with a 2H2 Fab. Hetero nonamer, spike with three chains, Fab with heavy and light chain with three chains each. 2H2 Fab is bound on the top of the RBD.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7dk7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7dk7,surface_glycoprotein,SARS-CoV-2,0,0.0
7jwy,"This electron microscopy structure shows the SARS-CoV-2 spike homo trimer at pH 4.5. A pH-dependent switch mediates conformational masking of SARS-CoV-2 spike. The SARS-CoV-2 spike has 10% the unfolding enthalpy of a globular protein at physiological pH, where it is recognized by antibodies and up to 10-times more unfolding enthalpy at endosomal pH, where it sheds such antibodies, suggesting that the spike evades potentially neutralizing antibody through a pH-dependent mechanism of conformational masking.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7jwy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7jwy,surface_glycoprotein,SARS-CoV-2,0,0.0
7kmb,"EM structure of SARS-Cov-2 trimer spike bound to ACE2. Hetero dimer, ACE2 and spike with one chain each. RBD-ACE2 region in greater detail through focused refinement and particle expansion with C3 symmetry applied.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kmb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kmb,surface_glycoprotein,SARS-CoV-2,0,0.0
7kmk,This electron microscopy structure shows the SARS-CoV-2 spike protein in complex with Fab 15033-7 bound to two RBDs.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kmk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kmk,surface_glycoprotein,SARS-CoV-2,0,1.0
7kml,"Cryo-EM structure of SARS-CoV-2 spike in complex with Fab 15033-7, with three RBDs bound.  protein engineering and modular design principles that have led to the development of synthetic bivalent and tetravalent nAbs against SARS-CoV-2.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kml,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kml,surface_glycoprotein,SARS-CoV-2,0,0.0
7kms,"EM structure of SARS-CoV-2 trimer spike bound to three ACE2 at pH 7,4. Hetero hexamer, ACE2 with three chains and spike with three chains. This structure is part of a study with reveals a pH-dependent switch to mediate endosomal positioning of RBDs.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/7kms,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/7kms,surface_glycoprotein,SARS-CoV-2,0,0.0
