path, Rfree
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xbh 0.2207
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7lcp 0.2208
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2duc 0.221
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2hob 0.221
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf3 0.221
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lks 0.2211
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6w63 0.2214
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf2 0.2216
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rev 0.2217
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7rc1 0.2217
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lyh 0.2219
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5ret 0.222
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7s3s 0.222
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mbg 0.2221
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7c6s 0.2222
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhf 0.2223
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6y2e 0.2224
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aga 0.2225
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rn1 0.2225
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m04 0.2228
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh5 0.2229
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/6xhl 0.2229
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lzy 0.2229
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aqe 0.2231
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfw 0.2232
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7cut 0.2232
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7lcq 0.2232
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfb 0.2235
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhl 0.2235
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rew 0.2236
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfv 0.2236
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nw2 0.2236
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5reb 0.2237
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgm 0.2237
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nkt 0.2239
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m01 0.2239
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z94 0.224
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z9k 0.224
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhq 0.224
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7kvr 0.2245
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nf5 0.2246
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfl 0.2247
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5re9 0.2248
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf4 0.2249
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5re7 0.225
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgq 0.225
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh9 0.225
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7af0 0.225
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7k0f 0.2252
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jt7 0.2254
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7bqy 0.2257
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lkd 0.2257
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jp0 0.226
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6ynq 0.2261
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5res 0.2263
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf0 0.2264
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfz 0.2265
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5reo 0.2268
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfq 0.227
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lkw 0.227
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jq0 0.2271
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5reg 0.2272
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jw8 0.2272
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7kvl 0.2272
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mgs 0.2273
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rfw 0.2274
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ntv 0.2275
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhi 0.2276
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rhf 0.2277
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m8y 0.2278
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rfr 0.2281
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rea 0.2282
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xfn 0.2282
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rg2 0.2283
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dat 0.2283
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mgr 0.2286
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7adw 0.2287
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgl 0.2289
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lzz 0.229
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m8n 0.2294
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6wqf 0.2296
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2amq 0.23
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7c8b 0.23
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh2 0.2302
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7k0e 0.2302
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3vb7 0.2304
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rek 0.2304
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3vb3 0.2306
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf5 0.2306
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgs 0.2306
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dhj 0.2309
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/1uk4 0.231
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3ea8 0.231
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rep 0.2311
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z3e 0.23123
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m8p 0.2314
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7l11 0.2316
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh3 0.2317
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgv 0.2319
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z9g 0.232
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3vb5 0.232
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5reu 0.2323
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jp1 0.2325
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dg6 0.2326
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfs 0.2327
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m91 0.2328
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2gz7 0.233
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r7z 0.233
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgn 0.2332
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lct 0.2332
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7c8t 0.2334
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lmd 0.2335
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nev 0.2336
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7fay 0.2336
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dpv 0.2336
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xqu 0.2338
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ddc 0.2338
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m8m 0.2343
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r80 0.2346
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7e19 0.2346
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3snd 0.23477
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfk 0.2348
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6wtj 0.2348
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3tit 0.23493
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6lu7 0.235
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dgh 0.2352
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aku 0.2353
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3vb4 0.2354
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3v3m 0.23572
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rg0 0.2359
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf1 0.2361
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3tiu 0.2362
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6zrt 0.2366
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ap6 0.2366
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r7y 0.2367
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfh 0.2368
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rft 0.2368
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xch 0.237
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rec 0.2371
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dau 0.2375
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfr 0.2377
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jq4 0.2382
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgu 0.2383
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aws 0.2385
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7kvg 0.2385
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z3c 0.2387
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/6xho 0.2387
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7avd 0.2387
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dgb 0.2389
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/1wof 0.239
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfn 0.239
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xkf 0.239
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/6lnq 0.2391
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xa4 0.2393
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7k0g 0.2395
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7brp 0.2396
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rei 0.2401
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m8z 0.2403
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rej 0.2405
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh0 0.2405
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lme 0.2405
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2gz8 0.24057
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m02 0.2407
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3sne 0.24083
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jpz 0.2409
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2gt8 0.24092
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rn0 0.241
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/4hi3 0.24138
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfj 0.2414
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhj 0.2421
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2a5i 0.24224
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfi 0.2423
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5ree 0.2424
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7faz 0.2428
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh1 0.2429
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3ebn 0.243
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3atw 0.24335
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6z2e 0.2434
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mpb 0.244
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ltn 0.2449
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/1uk3 0.245
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2amd 0.245
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3tns 0.24524
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3vb6 0.2453
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7k6e 0.2453
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mrr 0.2455
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6m03 0.2458
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3f9f 0.246
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5ref 0.2461
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgy 0.2461
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7com 0.2463
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2a5a 0.24638
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rem 0.2464
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xhu 0.2464
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/6xhn 0.2467
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6y2g 0.2473
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rff 0.2474
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dav 0.2475
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7l13 0.2476
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7khp 0.2479
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2gz9 0.248
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z9j 0.248
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2z3d 0.24813
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhk 0.2482
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5re8 0.2483
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7c8r 0.2483
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7d1o 0.2485
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ax6 0.2485
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2gx4 0.2488
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m03 0.2488
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2a5k 0.24889
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/1q2w 0.249
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3ea7 0.249
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7bal 0.249
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7l12 0.2491
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lco 0.2491
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r81 0.2494
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3snb 0.25005
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5re6 0.2505
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rex 0.2507
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7l10 0.2507
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xoa 0.2509
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7c6u 0.2512
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nt2 0.2514
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/5n5o 0.25152
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6wtm 0.2516
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7joy 0.252
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rer 0.2526
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6lny 0.2527
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7arf 0.2527
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lfe 0.2527
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/1uk2 0.253
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/5b6o 0.2536
