pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
6lnq,pdb/3c_like_proteinase/SARS-CoV/6lnq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6lnq,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.244,,0.1992,0.2391
6lny,pdb/3c_like_proteinase/SARS-CoV-2/6lny,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6lny,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.245,,0.2041,0.2527
6lo0,pdb/3c_like_proteinase/SARS-CoV-2/6lo0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6lo0,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.939,,0.2273,0.2684
6lu7,pdb/3c_like_proteinase/SARS-CoV-2/6lu7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6lu7,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.16,,0.202,0.235
6lze,pdb/3c_like_proteinase/SARS-CoV-2/6lze,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6lze,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.176,0.1989
6m03,pdb/3c_like_proteinase/SARS-CoV-2/6m03,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6m03,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,1,1.99,,0.1962,0.2458
6m0k,pdb/3c_like_proteinase/SARS-CoV-2/6m0k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6m0k,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.1795,0.1931
6m2n,pdb/3c_like_proteinase/SARS-CoV-2/6m2n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6m2n,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.198,,0.2254,0.2544
6m2q,pdb/3c_like_proteinase/SARS-CoV-2/6m2q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6m2q,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1755,0.204
6w63,pdb/3c_like_proteinase/SARS-CoV-2/6w63,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6w63,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1499,0.2214
6w79,pdb/3c_like_proteinase/SARS-CoV-2/6w79,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6w79,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.46,,0.1564,0.1773
6wnp,pdb/3c_like_proteinase/SARS-CoV-2/6wnp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wnp,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.44,,0.1807,0.1959
6wqf,pdb/3c_like_proteinase/SARS-CoV-2/6wqf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wqf,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.1796,0.2296
6wtj,pdb/3c_like_proteinase/SARS-CoV-2/6wtj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wtj,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.1986,0.2348
6wtk,pdb/3c_like_proteinase/SARS-CoV-2/6wtk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wtk,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2059,0.2553
6wtm,pdb/3c_like_proteinase/SARS-CoV-2/6wtm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wtm,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.85,,0.2077,0.2516
6wtt,pdb/3c_like_proteinase/SARS-CoV-2/6wtt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wtt,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.15,,0.2145,0.3001
6xa4,pdb/3c_like_proteinase/SARS-CoV-2/6xa4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xa4,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1982,0.2393
6xb0,pdb/3c_like_proteinase/SARS-CoV-2/6xb0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xb0,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1545,0.201
6xb1,pdb/3c_like_proteinase/SARS-CoV-2/6xb1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xb1,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1587,0.2019
6xb2,pdb/3c_like_proteinase/SARS-CoV-2/6xb2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xb2,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1956,0.2572
6xbg,pdb/3c_like_proteinase/SARS-CoV-2/6xbg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xbg,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.45,,0.1814,0.2057
6xbh,pdb/3c_like_proteinase/SARS-CoV-2/6xbh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xbh,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1735,0.2207
6xbi,pdb/3c_like_proteinase/SARS-CoV-2/6xbi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xbi,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1732,0.2166
6xch,pdb/3c_like_proteinase/SARS-CoV-2/6xch,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xch,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.197,0.237
6xfn,pdb/3c_like_proteinase/SARS-CoV-2/6xfn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xfn,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1954,0.2282
6xhm,pdb/3c_like_proteinase/SARS-CoV-2/6xhm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xhm,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.406,,0.1908,0.2096
6xhu,pdb/3c_like_proteinase/SARS-CoV-2/6xhu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xhu,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.2021,0.2464
6xkf,pdb/3c_like_proteinase/SARS-CoV-2/6xkf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xkf,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1898,0.239
6xkh,pdb/3c_like_proteinase/SARS-CoV-2/6xkh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xkh,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.28,,0.1563,0.1749
6xmk,pdb/3c_like_proteinase/SARS-CoV-2/6xmk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xmk,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1791,0.2116
6xoa,pdb/3c_like_proteinase/SARS-CoV-2/6xoa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xoa,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.2055,0.2509
6xqs,pdb/3c_like_proteinase/SARS-CoV-2/6xqs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xqs,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.171,0.2039
6xqt,pdb/3c_like_proteinase/SARS-CoV-2/6xqt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xqt,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.2254,0.2769
6xqu,pdb/3c_like_proteinase/SARS-CoV-2/6xqu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xqu,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.176,0.2338
6xr3,pdb/3c_like_proteinase/SARS-CoV-2/6xr3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xr3,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.45,,0.1434,0.1874
6y2e,pdb/3c_like_proteinase/SARS-CoV-2/6y2e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y2e,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.75,,0.1712,0.2224
6y2f,pdb/3c_like_proteinase/SARS-CoV-2/6y2f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y2f,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1779,0.2191
6y2g,pdb/3c_like_proteinase/SARS-CoV-2/6y2g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y2g,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.1862,0.2473
6y7m,pdb/3c_like_proteinase/SARS-CoV/6y7m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6y7m,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.9,,0.2062,0.2576
6y84,pdb/3c_like_proteinase/SARS-CoV-2/6y84,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y84,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.39,,0.1779,0.2
6yb7,pdb/3c_like_proteinase/SARS-CoV-2/6yb7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6yb7,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.25,,0.1706,0.1917
6ynq,pdb/3c_like_proteinase/SARS-CoV-2/6ynq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6ynq,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.3,,0.1922,0.2261
6yvf,pdb/3c_like_proteinase/SARS-CoV-2/6yvf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6yvf,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.41,,0.1869,0.2081
6yz6,pdb/3c_like_proteinase/SARS-CoV-2/6yz6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6yz6,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.69,,0.1774,0.2161
6z2e,pdb/3c_like_proteinase/SARS-CoV-2/6z2e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6z2e,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.192,0.2434
6zrt,pdb/3c_like_proteinase/SARS-CoV-2/6zrt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6zrt,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1988,0.2366
6zru,pdb/3c_like_proteinase/SARS-CoV-2/6zru,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6zru,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1876,0.2154
7aku,pdb/3c_like_proteinase/SARS-CoV-2/7aku,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7aku,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.491,,0.1823,0.2353
7bqy,pdb/3c_like_proteinase/SARS-CoV-2/7bqy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7bqy,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1949,0.2257
7bro,pdb/3c_like_proteinase/SARS-CoV-2/7bro,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7bro,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2262,0.259
7brp,pdb/3c_like_proteinase/SARS-CoV-2/7brp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7brp,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.2156,0.2396
7buy,pdb/3c_like_proteinase/SARS-CoV-2/7buy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7buy,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1793,0.2012
7c2q,pdb/3c_like_proteinase/SARS-CoV-2/7c2q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c2q,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.93,,0.226234681098,0.265023272038
7c2y,pdb/3c_like_proteinase/SARS-CoV-2/7c2y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c2y,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.91,,0.220077061897,0.261688497256
7c6s,pdb/3c_like_proteinase/SARS-CoV-2/7c6s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c6s,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.2075,0.2222
7c6u,pdb/3c_like_proteinase/SARS-CoV-2/7c6u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c6u,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2415,0.2512
7c7p,pdb/3c_like_proteinase/SARS-CoV-2/7c7p,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c7p,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.74,,0.1742,0.2159
7c8b,pdb/3c_like_proteinase/SARS-CoV-2/7c8b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8b,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.177,0.23
7c8r,pdb/3c_like_proteinase/SARS-CoV-2/7c8r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8r,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.2002,0.2483
7c8t,pdb/3c_like_proteinase/SARS-CoV-2/7c8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8t,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.1843,0.2334
7c8u,pdb/3c_like_proteinase/SARS-CoV-2/7c8u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8u,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.35,,0.2115,0.2728
7cbt,pdb/3c_like_proteinase/SARS-CoV-2/7cbt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cbt,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.346,,0.2092,0.292
7com,pdb/3c_like_proteinase/SARS-CoV-2/7com,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7com,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.25,,0.1978,0.2463
7cwb,pdb/3c_like_proteinase/SARS-CoV-2/7cwb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cwb,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.2181,0.2569
7cwc,pdb/3c_like_proteinase/SARS-CoV-2/7cwc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cwc,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.2307,0.2593
7cx9,pdb/3c_like_proteinase/SARS-CoV-2/7cx9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7cx9,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.73,,0.1701,0.2092
7d1m,pdb/3c_like_proteinase/SARS-CoV-2/7d1m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7d1m,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.35,,0.1167,0.157
7d1o,pdb/3c_like_proteinase/SARS-CoV-2/7d1o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7d1o,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.78,,0.2228,0.2485
7d3i,pdb/3c_like_proteinase/SARS-CoV-2/7d3i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7d3i,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1659,0.2089
7jkv,pdb/3c_like_proteinase/SARS-CoV-2/7jkv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jkv,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.25,,0.1446,0.1769
7joy,pdb/3c_like_proteinase/SARS-CoV-2/7joy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7joy,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.217,0.252
7jp1,pdb/3c_like_proteinase/SARS-CoV-2/7jp1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jp1,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.189,0.2325
7jr3,pdb/3c_like_proteinase/SARS-CoV-2/7jr3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jr3,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.53,,0.1591,0.1832
7jr4,pdb/3c_like_proteinase/SARS-CoV-2/7jr4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jr4,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.153,0.1802
7ju7,pdb/3c_like_proteinase/SARS-CoV-2/7ju7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7ju7,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1686,0.1918
7jun,pdb/3c_like_proteinase/SARS-CoV-2/7jun,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jun,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,,,,
7jvz,pdb/3c_like_proteinase/SARS-CoV-2/7jvz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jvz,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.17227,0.21719
7jyc,pdb/3c_like_proteinase/SARS-CoV-2/7jyc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7jyc,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.175,0.2125
7k3t,pdb/3c_like_proteinase/SARS-CoV-2/7k3t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k3t,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.2,,0.171,0.1866
7k40,pdb/3c_like_proteinase/SARS-CoV-2/7k40,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k40,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.35,,0.1698,0.1915
7k6d,pdb/3c_like_proteinase/SARS-CoV-2/7k6d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k6d,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.48,,0.1847,0.2153
7k6e,pdb/3c_like_proteinase/SARS-CoV-2/7k6e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7k6e,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.63,,0.2141,0.2453
7kfi,pdb/3c_like_proteinase/SARS-CoV-2/7kfi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7kfi,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.202,0.218
7khp,pdb/3c_like_proteinase/SARS-CoV-2/7khp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7khp,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.2036,0.2479
7kph,pdb/3c_like_proteinase/SARS-CoV-2/7kph,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7kph,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.46,,0.167,0.1809
6w2a,pdb/3c_like_proteinase/SARS-CoV/6w2a,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6w2a,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.172,0.203
6xhl,pdb/3c_like_proteinase/SARS-CoV/6xhl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6xhl,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.471,,0.2035,0.2229
6xhn,pdb/3c_like_proteinase/SARS-CoV/6xhn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6xhn,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.377,,0.222,0.2467
6xho,pdb/3c_like_proteinase/SARS-CoV/6xho,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/6xho,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.446,,0.2109,0.2387
5rl0,pdb/3c_like_proteinase/SARS-CoV-2/5rl0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rl0,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.69,,0.1774,0.214
5rl1,pdb/3c_like_proteinase/SARS-CoV-2/5rl1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rl1,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1819,0.2103
5rl2,pdb/3c_like_proteinase/SARS-CoV-2/5rl2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rl2,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.48,,0.1781,0.1999
5rl3,pdb/3c_like_proteinase/SARS-CoV-2/5rl3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rl3,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.51,,0.1771,0.2049
5rl4,pdb/3c_like_proteinase/SARS-CoV-2/5rl4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rl4,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.53,,0.1795,0.2052
5rl5,pdb/3c_like_proteinase/SARS-CoV-2/5rl5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rl5,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1842,0.2174
7a1u,pdb/3c_like_proteinase/SARS-CoV-2/7a1u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7a1u,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.67,,0.1728,0.2042
